model,strategy,encoding,cv_folds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,positive_smell_recall_mean,positive_smell_recall_std,top_1_positive_count_mean,top_1_positive_count_std,top_5_positive_count_mean,top_5_positive_count_std,top_10_positive_count_mean,top_10_positive_count_std,recall
naive_bayes,class_weight,openai,7,0.773109243697479,0.055106356099023014,0.282312925170068,0.11180598580880001,0.2761904761904762,0.09035079029052513,0.26947655519084085,0.08564912300990764,0.2761904761904762,0.09035079029052513,1.4285714285714286,0.4948716593053935,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.2761904761904762
naive_bayes,random_undersample,openai,7,0.6446578631452581,0.06957981536299625,0.2340629958277017,0.08441757404657044,0.6142857142857142,0.2294625486315573,0.33734887894551757,0.12018193932930997,0.6142857142857142,0.2294625486315573,3.142857142857143,1.124858267715973,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6142857142857142
logistic_regression,none,tfidf,7,0.8471788715486194,0.019714940550661347,0.21428571428571427,0.36421567954234174,0.05714285714285715,0.09035079029052512,0.08843537414965986,0.1404065812282333,0.05714285714285715,0.09035079029052512,0.2857142857142857,0.45175395145262565,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.05714285714285715
logistic_regression,class_weight,tfidf,7,0.8306122448979592,0.028065059986574475,0.16666666666666666,0.19920476822239896,0.08571428571428573,0.09897433186107871,0.11224489795918367,0.1300770284079792,0.08571428571428573,0.09897433186107871,0.42857142857142855,0.49487165930539345,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.08571428571428573
logistic_regression,random_undersample,tfidf,7,0.5086434573829531,0.09828670854198181,0.17637163561076608,0.058048590784822544,0.6142857142857142,0.20303814862216993,0.273354343236545,0.08866758746600714,0.6142857142857142,0.20303814862216993,3.142857142857143,0.989743318610787,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.6142857142857142
random_forest,none,tfidf,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,class_weight,tfidf,7,0.8512605042016805,0.009464779517131792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.0
random_forest,random_undersample,tfidf,7,0.6451380552220888,0.19897226750528538,0.22029878618113916,0.17483736697003427,0.36666666666666664,0.20236694629405505,0.26035868893011754,0.1833423842472006,0.36666666666666664,0.20236694629405505,1.8571428571428572,0.9897433186107869,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.36666666666666664
knn,none,tfidf,7,0.8512605042016805,0.023580804789381425,0.21428571428571427,0.36421567954234174,0.05714285714285715,0.09035079029052512,0.08843537414965986,0.1404065812282333,0.05714285714285715,0.09035079029052512,0.2857142857142857,0.45175395145262565,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.05714285714285715
knn,class_weight,tfidf,7,0.8512605042016805,0.023580804789381425,0.21428571428571427,0.36421567954234174,0.05714285714285715,0.09035079029052512,0.08843537414965986,0.1404065812282333,0.05714285714285715,0.09035079029052512,0.2857142857142857,0.45175395145262565,5.142857142857143,0.3499271061118826,5.142857142857143,0.3499271061118826,0.05714285714285715
