issue_id,in_recovar,recovar_issue_state,in_classification,smell_label,issue_state_ours,has_dep_change_commits,dep_change_missing_recovar,smelly_missing_recovar,dep_mr_count,dep_commit_count,dep_files_with_dep_changes
2022,False,,True,no_smell,closed,True,True,False,1,1,2
2025,False,,True,no_smell,closed,True,True,False,1,2,1
2026,False,,True,no_smell,closed,False,False,False,0,0,0
2028,False,,True,no_smell,opened,False,False,False,0,0,0
2030,False,,True,no_smell,closed,False,False,False,0,0,0
2031,True,closed,True,no_smell,closed,False,False,False,0,0,0
2040,False,,True,no_smell,closed,False,False,False,0,0,0
2041,False,,True,no_smell,closed,False,False,False,0,0,0
2042,True,closed,True,smell,closed,True,False,False,1,4,13
2044,False,,True,no_smell,closed,False,False,False,0,0,0
2046,True,closed,True,smell,closed,True,False,False,1,3,4
2048,True,closed,True,no_smell,closed,False,False,False,0,0,0
2049,False,,True,no_smell,opened,False,False,False,0,0,0
2050,True,closed,True,no_smell,closed,False,False,False,0,0,0
2051,False,,True,no_smell,closed,False,False,False,0,0,0
2052,True,closed,True,no_smell,closed,False,False,False,0,0,0
2054,False,,True,no_smell,closed,False,False,False,0,0,0
2056,True,closed,True,no_smell,closed,False,False,False,0,0,0
2061,True,closed,True,no_smell,closed,False,False,False,0,0,0
2063,False,,True,no_smell,closed,False,False,False,0,0,0
2064,False,,True,no_smell,closed,False,False,False,0,0,0
2065,False,,True,no_smell,closed,False,False,False,0,0,0
2067,True,closed,True,no_smell,closed,True,False,False,1,3,3
2068,False,,True,no_smell,closed,False,False,False,0,0,0
2071,True,closed,True,no_smell,closed,False,False,False,0,0,0
2072,False,,True,no_smell,closed,False,False,False,0,0,0
2074,False,,True,no_smell,closed,False,False,False,0,0,0
2076,False,,True,no_smell,closed,False,False,False,0,0,0
2077,False,,True,smell,opened,True,True,True,1,10,6
2080,False,,True,no_smell,closed,False,False,False,0,0,0
2081,True,closed,True,no_smell,closed,False,False,False,0,0,0
2086,True,closed,True,smell,closed,True,False,False,5,9,12
2089,False,,True,no_smell,closed,False,False,False,0,0,0
2090,True,closed,True,smell,closed,True,False,False,1,2,6
2092,True,closed,True,smell,closed,True,False,False,1,1,1
2093,True,closed,True,no_smell,closed,False,False,False,0,0,0
2094,False,,True,no_smell,closed,False,False,False,0,0,0
2095,False,,True,no_smell,closed,False,False,False,0,0,0
2101,False,,True,smell,closed,True,True,True,1,1,1
2102,True,closed,True,no_smell,closed,False,False,False,0,0,0
2103,False,,True,no_smell,closed,False,False,False,0,0,0
2104,True,closed,True,no_smell,closed,False,False,False,0,0,0
2105,True,closed,True,no_smell,closed,True,False,False,1,2,1
2106,True,opened,True,smell,opened,True,False,False,2,19,41
2107,True,closed,True,smell,closed,True,False,False,2,19,20
