backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_file_f2,doc_to_code_component_micro_f1,doc_to_code_component_micro_f2,doc_to_code_worst_component_f1,doc_to_code_worst_component_f2,doc_to_code_harmonic_component_f1,doc_to_code_harmonic_component_f2
terra,average,Full,bigbluebutton,0.679802,0.925224,0.783740,0.862910,0.895296,0.909845,0.444444,0.555556,0.807572,0.828700
terra,average,Full,jabref,0.946859,1.000000,0.971869,0.988331,0.978100,0.991045,0.937322,0.973374,0.984248,0.993592
terra,average,Full,mediastore,0.899972,0.870057,0.883687,0.875219,0.960062,0.976575,0.768473,0.756116,0.962661,0.958573
terra,average,Full,teammates,0.798358,0.744020,0.770227,0.754285,0.627876,0.534642,0.715990,0.611746,0.801292,0.782921
terra,average,Full,teastore,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
terra,average,FullNameOnly,bigbluebutton,0.855662,0.803793,0.828914,0.813656,0.802920,0.735294,0.421053,0.312500,0.773467,0.688216
terra,average,FullNameOnly,jabref,0.964483,1.000000,0.981261,0.992247,0.992593,0.996997,0.962963,0.984127,0.993197,0.997245
terra,average,FullNameOnly,mediastore,0.888851,0.768362,0.822974,0.789076,0.902993,0.889525,0.697233,0.662424,0.918183,0.892368
terra,average,FullNameOnly,teammates,0.797868,0.711745,0.752350,0.727449,0.578313,0.480962,0.715990,0.611746,0.755496,0.717534
terra,average,FullNameOnly,teastore,1.000000,0.735502,0.847596,0.776583,0.875000,0.813953,0.666667,0.555556,0.860215,0.793651
terra,average,PartialNameOnly,bigbluebutton,0.281830,0.118160,0.166480,0.133678,0.369878,0.286393,0.000000,0.000000,0.000000,0.000000
terra,average,PartialNameOnly,jabref,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,average,PartialNameOnly,mediastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
terra,average,PartialNameOnly,teammates,0.666667,0.001400,0.002793,0.001749,0.011905,0.007491,0.000000,0.000000,0.000000,0.000000
terra,average,PartialNameOnly,teastore,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
